Year,CrestFactorLow,CrestFactorMid,CrestFactorHigh,ChannelCorrelationLow,ChannelCorrelationMid,ChannelCorrelationHigh,RMSHigh,RMSMid,RMSLow,PhaseSpaceHigh,PhaseSpaceMid,PhaseSpaceLow,PeakMeterHigh,PeakMeterMid,PeakMeterLow
1992,11.433475187680502,15.555753469377414,20.68192639962917,0.9294296083171905,0.9294447088457671,0.8974952213609186,-34.314016285397194,-23.677312674362653,-20.940702230139927,0.026976545721016876,0.04480045782653956,0.04001669645792243,-13.632089885768028,-8.121559204985243,-9.507227042459427
1993,10.883325158872323,15.578336867206081,18.241243482470153,0.6942258520251613,0.5243771115399618,0.4357978428061291,-36.81485649193356,-28.916764495900807,-27.59767241625115,0.01910132354402377,0.031802979284962535,0.029808246626931736,-18.57361300946341,-13.338427628694722,-16.714347257378826
1995,11.051223745632939,15.161809777160741,18.81541019304443,0.9639066337503828,0.8691694027604844,0.8333286689900595,-35.303812961132266,-23.862196866129974,-26.314649908451315,0.022775950625769696,0.04543860501617513,0.028895742502351766,-16.488402768087834,-8.700387088969231,-15.263426162818375
1996,12.075768412386724,15.840944862187087,18.841779584614635,0.9713854341164653,0.9188719362851218,0.9348626401200791,-43.314725713456106,-31.29797561280016,-32.040010098907196,0.010521252951798862,0.023714404778441455,0.020845603556049454,-24.472946128841464,-15.45703075061307,-19.964241686520467
1997,11.150291865594298,14.235532239254516,19.366314979899872,0.8898751232584697,0.6283428042892997,0.8187672555235036,-44.95551393969797,-27.425363628403133,-26.885429523545557,0.009926461265373401,0.02621243818942564,0.02439837707620135,-25.5891989597981,-13.189831389148617,-15.735137657951265
1998,11.247916202896054,15.243663554478056,19.168501903155843,0.9032825764747844,0.7965859346099047,0.870229112600331,-38.543851364083146,-24.87941278978405,-26.81503660065716,0.017908605182805484,0.04198858129713723,0.030493311335988406,-19.375349460927303,-9.635749235305992,-15.567120397761103
1999,11.89491485738898,15.163887145595238,18.96120517072211,0.8650694618613909,0.7844240794997678,0.7427651487159718,-35.96518784118723,-26.168923482275755,-28.114885825907677,0.020215881883258097,0.03473156456790406,0.027654861621619176,-17.00398267046512,-11.005036336680517,-16.2199709685187
2000,11.978212362199457,15.323129974531524,19.447794807304735,0.862713935501603,0.7972725793673764,0.8957211734131585,-36.24412026311643,-25.691656953869224,-30.89521371740956,0.02238345894381086,0.037383577911213585,0.026488126213049926,-16.796325455811697,-10.368526979337702,-18.9170013552101
2001,11.789489484642397,15.573914952534782,19.579277885686142,0.9081973189184278,0.834035423899155,0.820971688379051,-35.28466343893904,-25.912997969072098,-30.903929181386083,0.02484831485107574,0.0392337144271053,0.02593557607990407,-15.705385553252905,-10.339083016537318,-19.11443969674368
2002,11.29300017482843,15.453710958594902,19.959561056431117,0.942559192259762,0.8372953660972758,0.5896652154250218,-36.07477110891909,-25.277660153864417,-29.11054149784626,0.02310416844823816,0.04126555677466992,0.030827336769605643,-16.11521005248797,-9.823949195269508,-17.81754132301783
