Year,CrestFactorLow,CrestFactorMid,CrestFactorHigh,ChannelCorrelationLow,ChannelCorrelationMid,ChannelCorrelationHigh,RMSHigh,RMSMid,RMSLow,PhaseSpaceHigh,PhaseSpaceMid,PhaseSpaceLow,PeakMeterHigh,PeakMeterMid,PeakMeterLow
1980,10.670303061278723,13.477103900609155,18.179354669881455,0.982019920492274,0.9155651191594001,0.7890384156623247,-39.773855804614485,-28.247434070379533,-34.67333221324681,0.01,0.021249999999999998,0.01125,-20.458247187178905,-13.807670413406171,-20.830105503791813
1984,10.646841031914217,14.032845251347572,17.596456532565846,0.9250645456697224,0.7827516442482699,0.4763213753540929,-31.2862269390393,-26.657890077159223,-29.638638656144344,0.0275,0.035,0.015,-11.722632444566848,-9.379987033019848,-17.10153285658876
1985,8.852332039506484,14.48304376124451,17.14344931936948,0.972873589048352,0.9027928447589945,0.8410110855469147,-32.03583189039898,-29.859016471209273,-26.248301094588264,0.0225,0.0275,0.02,-13.823030348813028,-14.841862498907695,-15.168423512893291
1986,11.085058849199697,14.075566854292553,18.135417733169326,0.9329833465228471,0.916747865211492,0.9175914222248892,-31.107841904368676,-29.263767876301127,-34.209801641918375,0.025,0.0225,0.01,-12.70979675095166,-13.63992803995971,-22.07451699736835
1987,9.93873997098585,13.898373923092288,17.389794589812183,0.8556756501926511,0.5641133107659337,0.6180558010207526,-35.284620844470396,-29.957730807440242,-32.02954560329659,0.0175,0.02,0.01125,-16.199114866613478,-15.003547440887763,-20.38647072708602
1988,9.409549489936468,14.045177665383772,17.056868353194652,0.980332034788358,0.9543525711350154,0.9135461616637572,-32.14841533481896,-26.114163127961763,-28.471057418411,0.0275,0.0275,0.0175,-11.798359230542927,-11.261501453988124,-16.291041902036227
1989,8.904150776403178,13.509094273156844,17.58854569867676,0.9911853817631837,0.9183534737526817,0.6732157367305891,-35.87572842045076,-28.637686081485118,-26.17211214714526,0.015,0.02,0.0175,-17.194799633756382,-14.07425322986256,-15.790959702764802
1990,9.320695773377611,13.557871213840151,16.580632391720734,0.9927302850150632,0.9774923931761108,0.9642971714994196,-33.44433625008162,-27.48233001871569,-29.20492910906612,0.0175,0.025,0.015,-16.07343935811506,-12.732310991744708,-17.76429184800903
1991,9.442448521506382,13.568991251259657,17.156783476987574,0.9967253436306733,0.9776360213215669,0.8295988614329745,-34.79162853857993,-26.978927269814136,-25.689952281923514,0.018750000000000003,0.025,0.02,-15.565452180990022,-12.24324545794704,-14.541132912042046
1992,9.564303979858149,13.861674193286525,16.603293796296175,0.9973587840282726,0.9026419180759806,0.809196490895451,-29.594965387755906,-23.369777049391757,-26.627708121460792,0.026250000000000002,0.035,0.02,-11.938246974083423,-9.197528507437003,-14.349741968961226
1993,9.277664449724533,13.852412040147854,17.59050495326375,0.9966786868073216,0.9736550866160971,0.9493614573013389,-33.86440709876591,-26.779411981034684,-25.673706545531722,0.02,0.0275,0.021249999999999998,-14.961716470494014,-11.4561914096556,-14.054250378997494
1994,9.185239081637098,13.414857548231371,17.67137463847994,0.9907309601705578,0.9649596072424381,0.8943277590105525,-34.46311181018217,-26.324825074583003,-25.054657603800777,0.0175,0.0275,0.021249999999999998,-15.527205315630335,-11.540135909705558,-13.674306334973558
1995,8.906238225671961,13.516401820180947,17.523144992657784,0.9889666163812871,0.9491161484890327,0.8571030389478298,-33.86904911937216,-25.34114183584873,-22.771849353355385,0.021249999999999998,0.03,0.02375,-14.259098736512996,-10.649331662146512,-12.661453587193272
1996,9.571603914630344,13.551412884084193,17.943163809435923,0.9937834174414883,0.9354065035183072,0.9179418176083451,-35.39913270008115,-25.3224143969091,-29.36799329504158,0.0175,0.0325,0.0175,-15.507928739858958,-10.010314954154866,-15.175752637989635
1997,9.181299456954529,13.857495680844973,17.97862667954682,0.9948572014954806,0.985396670894521,0.960242661211935,-33.598275301143964,-27.803859333595753,-28.329446870718535,0.02,0.025,0.015,-15.248420193936369,-11.827894783433749,-16.137488178266448
1998,9.26157049906589,13.451115404803016,17.301578453856603,0.993218650857975,0.9515795097603944,0.9304401631554802,-34.476662391048194,-23.932106154063177,-26.835845928777275,0.02,0.0325,0.02,-15.312977235619384,-9.5467295988559,-13.892014203555682
1999,9.478309099091888,14.007263717483369,17.753872033670465,0.9962730387355935,0.9714329977587974,0.9501344022688831,-33.242517256446405,-24.05659658217902,-25.671971634256437,0.0225,0.0375,0.02,-13.896852450500603,-8.501120925986319,-13.97482124284576
2000,9.798547084615441,13.669653452850625,17.76664136011957,0.986771135419007,0.9199753596971942,0.8826895301834448,-33.07681400359739,-23.550909538550897,-25.306497476798892,0.0225,0.04,0.0325,-13.432031604149262,-7.98225800621125,-9.608430187467576
2001,9.398638152213673,13.81689705405855,17.572530495132415,0.9885314777611522,0.9361411979675782,0.8762188788121137,-32.673886275730055,-23.356071346180084,-25.591692504259775,0.02,0.04,0.0225,-14.122274323794985,-7.880549454021278,-13.449523830096911
2002,9.404994426671408,13.391302464509113,17.697990835833675,0.9914629660441991,0.8993382211417016,0.880122208746813,-30.691783003979992,-22.091453709541646,-25.720746886765856,0.025,0.04125,0.0225,-12.35372736338738,-7.5207913030847,-12.973467165723852
2003,9.558673951169506,13.858391472179699,17.346094864435905,0.9931974089258618,0.9197994687042592,0.90543598796029,-30.53750146313424,-22.594821480726278,-27.046021218957332,0.025,0.0425,0.0225,-12.015185478244604,-7.225038251646394,-13.043047482826172
2004,8.71157680342775,13.190439047798469,17.295537389978886,0.9936813605609491,0.9298108708181154,0.9139825789796485,-32.17051990866388,-21.449409288653236,-21.937921339216054,0.0225,0.0425,0.0275,-13.70907209607791,-7.10438813629626,-11.370671848133295
2005,8.82410250052111,13.312524841027637,17.490932020379205,0.9925893735343536,0.9196222007774083,0.9042510341476867,-32.12096991901171,-22.750825006904,-23.981304954181347,0.0225,0.0375,0.025,-13.925982520315042,-8.437011758012815,-12.337086558300944
2006,8.210721822890523,13.568966512446062,17.931852547677824,0.9920860416333552,0.8507683813033733,0.8110557915900795,-33.53473157177169,-24.08854659733271,-22.694559039368635,0.02,0.0375,0.03,-13.877714446397361,-8.550528186795365,-10.523168532797937
2007,8.613529056160054,13.176032936067463,17.09290640118366,0.9867868485069939,0.8209821548236924,0.7723889258461175,-30.95423805580047,-21.777931692865337,-22.4722922173062,0.025,0.04,0.025,-12.661886134827963,-7.8328665408630656,-12.21028673921852
2008,8.949013322017985,13.336721321456169,17.03002668340651,0.9881305992156607,0.8694680661024481,0.8419451023924971,-33.10678145649672,-21.926937203806112,-22.847352105199185,0.0225,0.04,0.025,-13.30868320620767,-7.7711317628608905,-12.298810703747197
