Year,CrestFactorLow,CrestFactorMid,CrestFactorHigh,ChannelCorrelationLow,ChannelCorrelationMid,ChannelCorrelationHigh,RMSHigh,RMSMid,RMSLow,PhaseSpaceHigh,PhaseSpaceMid,PhaseSpaceLow,PeakMeterHigh,PeakMeterMid,PeakMeterLow
2009,8.879098674534406,13.4992829494881,17.172205689369385,0.9934182263703424,0.9367798810233985,0.9125024357461811,-29.54937395059141,-21.067021491736206,-23.540170743206048,0.028749999999999998,0.04625,0.02375,-11.195150738495034,-6.66330832114048,-12.841568487873138
2010,8.67078275698614,13.121365731084309,17.360569613061305,0.9886416007019472,0.8475098538088477,0.8677633390042658,-30.936121757412117,-20.826052249488534,-19.140454735031618,0.025,0.0475,0.035,-11.949521703124244,-6.129684691394992,-9.292381520525339
2011,7.771972308978425,13.140128552929276,16.977356653971732,0.984784664978425,0.8374545132788687,0.8522787898355054,-31.57341962575211,-21.436648797568196,-19.424861342972733,0.025,0.045,0.035,-12.547892750967344,-6.582757713723074,-8.903249147508927
2012,7.87903882078416,13.113324119528123,16.86624811413099,0.9952185654962957,0.7830104894969764,0.7769711087080325,-30.00153221958186,-21.91174804301658,-19.685573377611735,0.0275,0.045,0.0325,-11.471745060734957,-7.122166168309416,-9.649383698135736
2013,7.878172008423835,13.081367336765137,17.108490653346855,0.992378753156148,0.8496617289399382,0.7899430219011868,-31.377841520303505,-20.81955399186987,-19.805188555009067,0.025,0.045,0.035,-12.65655190436509,-6.995036001712187,-9.084173809380246
2014,8.153358136771658,12.995845647596688,17.06450414849011,0.9929969882488529,0.7956644744173731,0.8154454143487916,-32.09588806180098,-21.768426645688848,-19.53880759310814,0.0225,0.0425,0.0325,-13.243489935877296,-7.384397759433908,-9.608744382997921
2015,7.993252207265481,12.905433432096643,16.63626040401251,0.9866063888950032,0.8000422547131922,0.769660163646943,-31.456539201289715,-21.853847666697,-20.57723959713337,0.0225,0.0425,0.035,-13.208132586029706,-7.095431177112048,-9.002827457951863
2016,8.107935638663886,12.940140158783505,17.070631519463475,0.9918372430736443,0.7557317617340213,0.7319795573848022,-32.630005626942875,-21.275702511442283,-22.212455727392317,0.0225,0.0425,0.03,-13.650531613493023,-7.304951444169773,-10.13700356698359
2017,7.766398063700699,13.050874319336693,17.231528379999872,0.9934651480967867,0.85870812729187,0.8685540779300372,-32.06979347887595,-21.28324512755428,-19.573982964703873,0.025,0.04,0.0325,-12.866638491983204,-7.590393960392938,-9.572527299147893
2018,7.933283385159715,12.887259188009963,17.541602835455087,0.9908902829859698,0.8047175175023122,0.8381767416490032,-34.13644533205862,-21.748245304436075,-21.47223338939745,0.02,0.0425,0.0325,-14.740394106496257,-7.471651323969306,-9.390521409289406
2019,7.955373223575125,12.66665358414547,17.56073474181714,0.9924386463000116,0.7928135933605986,0.8562156762866205,-34.52357847000471,-21.318361583858447,-22.503738205036086,0.02,0.0425,0.0275,-14.007035587645344,-7.369371787894691,-11.466780249261962
2020,7.871405020966565,12.719604725341586,17.7243027942114,0.9939549735145567,0.8835251660822423,0.8828532726659064,-33.536143093551686,-21.87950019869261,-20.56630014097124,0.0225,0.04,0.0325,-13.524916221731964,-7.709065827167661,-9.967957692785976
2021,7.820124588525672,13.08232218541335,17.6161700917576,0.9898811379539159,0.851529797287143,0.8481680481756388,-34.84408857640965,-23.174063733658947,-20.90696983302913,0.02,0.035,0.0275,-14.03055705044307,-8.741613879630837,-10.765467709726128
2022,7.509591778135298,12.801247024261384,17.53143443064081,0.9955448462048648,0.8596870800377066,0.8769448673390887,-34.1727134612933,-21.619967924928574,-20.22653425441184,0.02,0.04125,0.03,-14.049423534740273,-7.534443703504822,-10.76488326166422
2023,8.306184863730754,12.638799817924053,17.421208970795135,0.983242460381403,0.8344547299817884,0.8294654279674091,-32.94143888187908,-20.0953158637168,-23.398339836618323,0.0225,0.04625,0.026250000000000002,-13.462061762082284,-6.566927052325021,-11.411389276583206
2024,8.274660030840593,13.042665460093573,16.70707564549663,0.9917132510778277,0.9265892669479753,0.8604844703684936,-32.90153590636906,-22.06139501092925,-22.307837904031828,0.0225,0.04,0.0325,-13.7994384158259,-8.04519882124264,-9.316684297437188
